Algorithm,Mean Squared Error,Mean Absolute Error,Median Absolute Error,R-squared
Linear Regression,4038724798553539.0,62899724.38995873,63270451.28082132,0.7011282450948193
Ridge Regression,5583718465383645.0,74046114.3636143,73202405.23528624,0.5867963726462978
Lasso Regression,4038725490441763.0,62899729.82649753,63270456.05701399,0.7011281938940424
ElasticNet Regression,6.486065190210442e+16,251121424.68387386,259472492.08729148,-3.7997865230180317
Random Forest,6.972692611606776e+16,237094262.5000001,244858967.94000006,-4.159898188635342
